structure,metric,comparison,n_pairs,full_mean,other_mean,p_value
liver,dice,full_vs_baseline,20,0.875870227247345,0.8727328220328131,0.2942523956298828
liver,dice,full_vs_cldice,20,0.875870227247345,0.8620673922050235,0.009435653686523438
liver,dice,full_vs_constraints,20,0.875870227247345,0.8701322934038738,0.082550048828125
liver,iou,full_vs_baseline,20,0.7809891181787407,0.7769432603481933,0.38837623596191406
liver,iou,full_vs_cldice,20,0.7809891181787407,0.7600865983872099,0.00830841064453125
liver,iou,full_vs_constraints,20,0.7809891181787407,0.7725829673193194,0.09730720520019531
liver,hd95,full_vs_baseline,20,102.71849063677357,97.52867912114482,0.5216732025146484
liver,hd95,full_vs_cldice,20,102.71849063677357,102.66167764571176,0.7841262817382812
liver,hd95,full_vs_constraints,20,102.71849063677357,97.96059298420033,0.2773551940917969
liver,assd,full_vs_baseline,20,14.054780639007834,12.259481352124167,0.012079238891601562
liver,assd,full_vs_cldice,20,14.054780639007834,13.212985495573832,0.13272666931152344
liver,assd,full_vs_constraints,20,14.054780639007834,12.333298395619051,0.009435653686523438
tumour,dice,full_vs_baseline,17,0.0784707128002289,0.1707525684966422,0.009632975772588674
tumour,dice,full_vs_cldice,17,0.0784707128002289,0.11559931018595947,0.07032573521121915
tumour,dice,full_vs_constraints,17,0.0784707128002289,0.17433301963943929,0.018602929901135743
tumour,iou,full_vs_baseline,17,0.04903326717273121,0.11005519006599333,0.007649082055293921
tumour,iou,full_vs_cldice,17,0.04903326717273121,0.07264662074865857,0.07032573521121915
tumour,iou,full_vs_constraints,17,0.04903326717273121,0.11055031408211125,0.018602929901135743
tumour,hd95,full_vs_baseline,10,96.45661100974117,103.31155632191289,0.064453125
tumour,hd95,full_vs_cldice,10,96.45661100974117,134.87730658999948,0.001953125
tumour,hd95,full_vs_constraints,10,96.45661100974117,104.84075658417343,0.083984375
tumour,assd,full_vs_baseline,10,42.485317565076016,43.35329953886924,0.6953125
tumour,assd,full_vs_cldice,10,42.485317565076016,65.78655712250904,0.001953125
tumour,assd,full_vs_constraints,10,42.485317565076016,43.23607888004716,1.0
vessel,dice,full_vs_baseline,20,0.4874639665309643,0.5881130061521798,0.001689910888671875
vessel,dice,full_vs_cldice,20,0.4874639665309643,0.014682299324538526,1.9073486328125e-06
vessel,dice,full_vs_constraints,20,0.4874639665309643,0.5782055179290052,0.01531219482421875
vessel,cldice,full_vs_baseline,20,0.6449979389590459,0.6158526000910927,0.08969497680664062
vessel,cldice,full_vs_cldice,20,0.6449979389590459,0.225,0.000209808349609375
vessel,cldice,full_vs_constraints,20,0.6449979389590459,0.6139380832901802,0.16495704650878906
vessel,cc_error,full_vs_baseline,20,204.2,299.35,0.0004825592041015625
vessel,cc_error,full_vs_cldice,20,204.2,19.15,1.9073486328125e-06
vessel,cc_error,full_vs_constraints,20,204.2,288.9,0.000133514404296875
vessel,centerline_overlap,full_vs_baseline,20,0.7358825795063311,0.638537840124133,5.7220458984375e-06
vessel,centerline_overlap,full_vs_cldice,20,0.7358825795063311,1.0,1.9073486328125e-06
vessel,centerline_overlap,full_vs_constraints,20,0.7358825795063311,0.6107011890184656,1.9073486328125e-06
