condition,structure,metric,mean,std,n
baseline,liver,dice,0.8727328220328131,0.04496383322313685,20
baseline,liver,iou,0.7769432603481933,0.06879415945381785,20
baseline,liver,sensitivity,0.9159518170556791,0.062403891336687486,20
baseline,liver,precision,0.8390472228042926,0.07115542568448031,20
baseline,liver,hd95,97.52867912114482,33.62442183111022,20
baseline,liver,assd,12.259481352124167,4.221667317499696,20
baseline,tumour,dice,0.1707525684966422,0.2093929401287206,17
baseline,tumour,iou,0.11005519006599333,0.14662443658140575,17
baseline,tumour,sensitivity,0.2174078109431897,0.28441166611303087,17
baseline,tumour,precision,0.2777969015804893,0.33739570800158314,17
baseline,tumour,hd95,91.51317263640533,42.426194624187914,14
baseline,tumour,assd,35.81587905871722,26.93000422716328,14
baseline,vessel,dice,0.5881130061521798,0.11048302884184269,20
baseline,vessel,iou,0.42516426746963437,0.11051126830444609,20
baseline,vessel,sensitivity,0.6342440463777678,0.14294400315860836,20
baseline,vessel,precision,0.6254419164168956,0.20612987230089275,20
baseline,vessel,hd95,37.419812837695346,30.310312989306112,20
baseline,vessel,assd,6.046840569734899,4.386384942362247,20
baseline,vessel,cldice,0.6158526000910927,0.08509718515327938,20
baseline,vessel,cc_error,299.35,119.6830292898705,20
baseline,vessel,centerline_overlap,0.638537840124133,0.12008425684122834,20
baseline,vessel,n_components_pred,319.5,116.01616266710428,20
baseline,vessel,n_components_gt,20.15,14.738639692997452,20
cldice,liver,dice,0.8620673922050235,0.0442207516416758,20
cldice,liver,iou,0.7600865983872099,0.0647998046447367,20
cldice,liver,sensitivity,0.9095803611550648,0.05414072404087246,20
cldice,liver,precision,0.823956971609346,0.06755558764083847,20
cldice,liver,hd95,102.66167764571176,43.03600150876418,20
cldice,liver,assd,13.212985495573832,5.6626958661604405,20
cldice,tumour,dice,0.11559931018595947,0.17961086309090102,17
cldice,tumour,iou,0.07264662074865857,0.11879115358836649,17
cldice,tumour,sensitivity,0.15349868808405864,0.22516804623654643,17
cldice,tumour,precision,0.29490802515042036,0.3532302812673823,17
cldice,tumour,hd95,117.76391852683099,51.79960082999403,17
cldice,tumour,assd,49.307501794401475,33.29249459735628,17
cldice,vessel,dice,0.014682299324538526,0.007785852802731453,20
cldice,vessel,iou,0.0074109706136222695,0.003960020414295879,20
cldice,vessel,sensitivity,1.0,0.0,20
cldice,vessel,precision,0.0074109706136222695,0.003960020414295879,20
cldice,vessel,hd95,190.73373712087886,35.609605778587785,20
cldice,vessel,assd,115.61118342198174,23.622539028663713,20
cldice,vessel,cldice,0.225,0.4023369234857771,20
cldice,vessel,cc_error,19.15,14.738639692997452,20
cldice,vessel,centerline_overlap,1.0,0.0,20
cldice,vessel,n_components_pred,1.0,0.0,20
cldice,vessel,n_components_gt,20.15,14.738639692997452,20
constraints,liver,dice,0.8701322934038738,0.042698565600979885,20
constraints,liver,iou,0.7725829673193194,0.06527502542477744,20
constraints,liver,sensitivity,0.9226546160992404,0.054884365772950014,20
constraints,liver,precision,0.8280677825097152,0.06946504058649745,20
constraints,liver,hd95,97.96059298420033,36.192191426356736,20
constraints,liver,assd,12.333298395619051,4.445650539282077,20
constraints,tumour,dice,0.17433301963943929,0.20177975031579404,17
constraints,tumour,iou,0.11055031408211125,0.13665400690630466,17
constraints,tumour,sensitivity,0.22892873171844821,0.26710093460241774,17
constraints,tumour,precision,0.2428280502104893,0.30244928434328416,17
constraints,tumour,hd95,95.28989173453837,47.07563117074834,14
constraints,tumour,assd,36.529898516269085,23.311777603698033,14
constraints,vessel,dice,0.5782055179290052,0.09758637067541122,20
constraints,vessel,iou,0.4132577125586009,0.0961574796434831,20
constraints,vessel,sensitivity,0.6008162655942955,0.14138780178265822,20
constraints,vessel,precision,0.6372313228790885,0.19866348740285558,20
constraints,vessel,hd95,37.20405560588499,26.613872646202303,20
constraints,vessel,assd,6.057976988316769,4.181369422321087,20
constraints,vessel,cldice,0.6139380832901802,0.07868584503825633,20
constraints,vessel,cc_error,288.9,104.16664533333115,20
constraints,vessel,centerline_overlap,0.6107011890184656,0.120188658961614,20
constraints,vessel,n_components_pred,309.05,101.84766811272608,20
constraints,vessel,n_components_gt,20.15,14.738639692997452,20
full,liver,dice,0.875870227247345,0.036599877617928066,20
full,liver,iou,0.7809891181787407,0.05641558929270941,20
full,liver,sensitivity,0.9152129339177388,0.05405964878493627,20
full,liver,precision,0.8436297920063496,0.05722837325841023,20
full,liver,hd95,102.71849063677357,40.648482845003215,20
full,liver,assd,14.054780639007834,6.685493706751625,20
full,tumour,dice,0.0784707128002289,0.15501508070308276,17
full,tumour,iou,0.04903326717273121,0.10180383284668643,17
full,tumour,sensitivity,0.13218854045106201,0.26934066001914214,17
full,tumour,precision,0.11756042265785303,0.24146070239678505,17
full,tumour,hd95,96.45661100974117,34.89250808867432,10
full,tumour,assd,42.485317565076016,24.32283604088095,10
full,vessel,dice,0.4874639665309643,0.17471801391268837,20
full,vessel,iou,0.33926649628668404,0.1479440276936203,20
full,vessel,sensitivity,0.6345605669125949,0.13543348464503366,20
full,vessel,precision,0.4851000237527142,0.25051212669290157,20
full,vessel,hd95,36.90383894929571,29.160103376171104,20
full,vessel,assd,6.9729290414464105,4.672546140794684,20
full,vessel,cldice,0.6449979389590459,0.10883808676162952,20
full,vessel,cc_error,204.2,96.0044790621771,20
full,vessel,centerline_overlap,0.7358825795063311,0.12106735489084515,20
full,vessel,n_components_pred,224.35,93.63347424933029,20
full,vessel,n_components_gt,20.15,14.738639692997452,20
