condition,condition_label,fold,patient_id,structure,present,dice,iou,sensitivity,precision,hd95,assd,cldice,cc_error,centerline_overlap,n_components_pred,n_components_gt
baseline,"Baseline (Dice+BCE vessel, no constraints)",0,03,liver,1,0.8114550349622446,0.6827297736577158,0.8943599481552961,0.7426163691160265,97.19773648481078,16.81902006788805,nan,nan,nan,nan,nan
baseline,"Baseline (Dice+BCE vessel, no constraints)",0,03,tumour,1,0.19039072542504426,0.10521095802283816,0.5617575497352225,0.11461861932017288,113.22764677906626,26.85773612296801,nan,nan,nan,nan,nan
baseline,"Baseline (Dice+BCE vessel, no constraints)",0,03,vessel,1,0.39353750969072476,0.2449714898820707,0.5759465086306605,0.29887902502043595,42.77849927241488,8.928575762065538,0.4203646182882655,168.0,0.48878787878787877,217.0,49.0
baseline,"Baseline (Dice+BCE vessel, no constraints)",0,10,liver,1,0.9067425146541431,0.8293952036077676,0.9637490625926238,0.8561033018041688,97.3498844375277,11.435240232813495,nan,nan,nan,nan,nan
baseline,"Baseline (Dice+BCE vessel, no constraints)",0,10,tumour,1,0.5611281594790227,0.3899778588174004,0.9174965527807568,0.40415049772228784,42.8164684955934,9.079562343050437,nan,nan,nan,nan,nan
baseline,"Baseline (Dice+BCE vessel, no constraints)",0,10,vessel,1,0.435407025075375,0.27828772853613953,0.8275459551237457,0.29542001119637,76.10190515106814,13.759500727828236,0.5833746913087182,130.0,0.7754532775453278,145.0,15.0
baseline,"Baseline (Dice+BCE vessel, no constraints)",0,14,liver,1,0.8731436430866315,0.7748491080782517,0.9625126040619404,0.798960443419961,66.73080248281148,8.87079215619748,nan,nan,nan,nan,nan
baseline,"Baseline (Dice+BCE vessel, no constraints)",0,14,tumour,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
baseline,"Baseline (Dice+BCE vessel, no constraints)",0,14,vessel,1,0.5340092300930335,0.3642650697772963,0.7369348968863728,0.4187110855829983,42.95520902903688,8.093983412684246,0.6171124777003417,151.0,0.7162162162162162,153.0,2.0
baseline,"Baseline (Dice+BCE vessel, no constraints)",0,17,liver,1,0.9047897141074037,0.8261333241314477,0.9519355644691134,0.8620934134487181,76.96752561957543,8.270158357188784,nan,nan,nan,nan,nan
baseline,"Baseline (Dice+BCE vessel, no constraints)",0,17,tumour,1,0.6326757939834218,0.46271088539169103,0.5161100136757332,0.8172569778633301,58.19106450468487,9.998431670422896,nan,nan,nan,nan,nan
baseline,"Baseline (Dice+BCE vessel, no constraints)",0,17,vessel,1,0.7134381124389962,0.5545307375702654,0.6998066332703855,0.727611194500727,17.97220075561143,2.68436158871506,0.70498253389926,312.0,0.7113821138211383,336.0,24.0
baseline,"Baseline (Dice+BCE vessel, no constraints)",1,02,liver,1,0.8583680571391453,0.7518781009123934,0.9627676461032116,0.7743950214231815,87.9374777896205,11.559072248463927,nan,nan,nan,nan,nan
baseline,"Baseline (Dice+BCE vessel, no constraints)",1,02,tumour,1,0.0,0.0,0.0,0.0,159.24446608502714,92.06801870282781,nan,nan,nan,nan,nan
baseline,"Baseline (Dice+BCE vessel, no constraints)",1,02,vessel,1,0.4127413020958473,0.26003404652363155,0.8286387575321451,0.27481196303250915,96.01822711854253,19.62558994586686,0.4238438217443342,420.0,0.8513598987982289,423.0,3.0
baseline,"Baseline (Dice+BCE vessel, no constraints)",1,05,liver,1,0.8940336737407087,0.808373322508469,0.9657069236586723,0.8322643238290304,112.17865215385844,13.11508148008029,nan,nan,nan,nan,nan
baseline,"Baseline (Dice+BCE vessel, no constraints)",1,05,tumour,1,0.0,0.0,0.0,0.0,128.75169901791588,80.09960084358211,nan,nan,nan,nan,nan
